user_id,事件,时间,顺序
1182062000201543680,equipment,2023-12-09 07:27:32.259,3
1181763914480758784,Game_Level_enter,2023-12-07 13:24:38.010,1
1181763914480758784,equipment,2023-12-06 14:37:22.833,2
1181763914480758784,Game_Level_enter,2023-12-06 14:18:42.713,3
1181804259939725312,draw_card,2023-12-07 19:09:32.252,1
1181804259939725312,equipment,2023-12-07 19:09:32.083,2
1181804259939725312,equipment,2023-12-07 19:09:17.347,3
1181808429606383616,Game_Level_enter,2023-12-06 05:19:10.151,1
1180969714134814720,Game_Level_enter,2023-12-04 08:50:19.511,1
1180969714134814720,role_recruit,2023-12-04 08:49:41.159,2
1180969714134814720,equipment,2023-12-04 08:49:10.951,3
1181033152584364033,Game_Level_enter,2023-12-14 11:43:39.905,1
1181033152584364033,equipment,2023-12-14 11:42:51.091,2
1181033152584364033,equipment,2023-12-14 11:42:32.569,3
1181029064215900160,In_appPurchases_BuyFailed,2023-12-22 16:46:47.526,1
1181029064215900160,role_recruit,2023-12-03 18:07:27.783,2
1181029064215900160,Game_Level_enter,2023-12-03 17:40:07.958,3
1180803407871479808,Game_Level_enter,2023-12-06 07:35:37.811,1
1180803407871479808,equipment,2023-12-06 07:35:08.884,2
1180803407871479808,equipment,2023-12-06 07:35:08.883,3
1180605198297473024,role_recruit,2023-12-03 13:24:35.156,1
1180605198297473024,Game_Level_enter,2023-12-03 13:16:06.444,2
1180605198297473024,equipment,2023-12-03 13:15:34.150,3
1180298458788016128,equipment,2023-12-04 07:02:55.370,1
1180298458788016128,equipment,2023-12-04 07:02:53.361,2
1180298458788016128,equipment,2023-12-04 07:02:51.438,3
1181003790170460160,Game_Level_enter,2023-12-05 18:30:38.402,1
1181003790170460160,Game_Level_enter,2023-12-05 18:24:32.809,2
1181003790170460160,equipment,2023-12-05 18:24:04.004,3
1180967789104467968,equipment,2023-12-05 23:22:49.399,1
1180967789104467968,equipment,2023-12-05 23:22:49.396,2
1180967789104467968,Game_Level_enter,2023-12-05 23:13:23.567,3
1180426591138754560,role_recruit,2023-12-22 12:47:34.555,1
1180426591138754560,equipment,2023-12-22 12:45:06.003,2
1180426591138754560,equipment,2023-12-22 12:45:06.002,3
1181013919183937536,equipment,2023-12-05 22:13:40.028,1
1181013919183937536,Game_Level_enter,2023-12-05 21:57:52.459,2
1181013919183937536,equipment,2023-12-05 21:57:22.602,3
1180602576505155584,equipment,2023-12-04 08:22:16.046,1
1180602576505155584,equipment,2023-12-04 08:22:11.787,2
1180602576505155584,role_recruit,2023-12-04 08:21:25.032,3
1184538386329772032,equipment,2023-12-14 15:44:23.353,1
1184538386329772032,equipment,2023-12-14 15:44:21.381,2
1184538386329772032,equipment,2023-12-14 15:44:20.867,3
1184547671386361856,Game_Level_enter,2023-12-15 23:51:39.704,1
1184547671386361856,equipment,2023-12-15 23:50:31.804,2
1184547671386361856,equipment,2023-12-15 23:50:15.100,3
1184089794901192704,equipment,2023-12-19 14:23:19.407,1
1184089794901192704,equipment,2023-12-19 14:23:16.544,2
1184089794901192704,equipment,2023-12-19 14:23:13.822,3
1184131058682048514,role_recruit,2023-12-14 08:42:38.076,1
1184131058682048514,equipment,2023-12-14 08:41:10.473,2
1184131058682048514,equipment,2023-12-14 08:41:10.473,2
1183000736212983808,Game_Level_enter,2023-12-15 01:04:32.549,1
1183000736212983808,role_recruit,2023-12-15 01:04:17.773,2
1183000736212983808,equipment,2023-12-15 01:04:07.371,3
1184515287383281664,draw_card,2023-12-15 16:05:57.732,1
1184515287383281664,equipment,2023-12-15 16:05:57.584,2
1184515287383281664,equipment,2023-12-15 16:05:49.948,3
1184532589147332608,equipment,2023-12-15 17:46:21.880,1
1184532589147332608,equipment,2023-12-15 17:46:16.832,2
1184532589147332608,equipment,2023-12-15 17:46:10.276,3
1184487148745662464,Game_Level_enter,2023-12-25 22:23:59.317,1
1184487148745662464,Game_Level_enter,2023-12-25 22:23:07.919,2
1184487148745662464,equipment,2023-12-25 22:22:14.386,3
1184508051399380992,equipment,2023-12-15 23:26:12.358,1
1184508051399380992,equipment,2023-12-14 18:09:48.697,2
1184508051399380992,role_recruit,2023-12-14 18:09:33.478,3
1184094720222044160,Game_Level_enter,2023-12-14 09:37:27.107,1
1184094720222044160,equipment,2023-12-14 07:25:24.141,2
1184094720222044160,equipment,2023-12-14 07:24:04.609,3
1184513755761876992,role_recruit,2023-12-16 12:53:07.715,1
1184513755761876992,role_recruit,2023-12-16 12:53:04.215,2
1184513755761876992,role_recruit,2023-12-16 12:53:00.782,3
1183418792764514304,equipment,2023-12-14 10:51:02.293,1
1183418792764514304,Game_Level_enter,2023-12-14 10:35:56.487,2
1183418792764514304,equipment,2023-12-14 10:10:00.687,3
1182991628948738048,role_recruit,2023-12-13 16:46:14.380,1
1182991628948738048,equipment,2023-12-13 16:45:07.526,2
