用户id,金币余额,绿币余额,广告场景,通用广告奖励类型,累计游戏场次,变化量,资源类型
1.1641E+18,643000,5.89,ad_video_gift_ad,,4,4.08,绿币
1.16393E+18,220000,1.44,ad_video_popup_bonus,礼物-在线奖励,3,1.04,绿币
1.16394E+18,540000,1.25,ad_video_popup_bonus,标记海星,2,1.15,绿币
1.16394E+18,540000,1.9,ad_video_popup_bonus,标记海星,2,1.8,绿币
1.16391E+18,740000,0.73,ad_video_popup_bonus,标记海星,2,0.73,绿币
1.16392E+18,540000,1.11,ad_video_popup_bonus,标记海星,2,0.61,绿币
1.16396E+18,1180000,1.51,ad_video_wild,,2,1.51,绿币
1.16398E+18,39000,1.77,ad_video_popup_bonus,礼物-在线奖励,6,0.97,绿币
1.16398E+18,523000,2.18,ad_video_wild,,4,0.74,绿币
1.16384E+18,280000,1.26,ad_video_starfish,,3,0.92,绿币
1.16311E+18,540000,2.95,ad_video_checkin_remedy,,0,2.85,绿币
1.16388E+18,743000,2.33,ad_video_starfish,,1,20000,金币
1.16276E+18,940000,1.96,ad_video_starfish,,1,1.57,绿币
1.16399E+18,540000,1.46,ad_video_popup_bonus,任务奖励,1,1.36,绿币
1.164E+18,740000,1.66,ad_video_popup_bonus,标记海星,2,1.66,绿币
1.16402E+18,1940000,0,ad_video_starfish,,0,20000,金币
1.1639E+18,640000,0.59,ad_video_popup_bonus,标记海星,2,0.59,绿币
1.16391E+18,540000,2.18,ad_video_starfish,,2,1.94,绿币
1.16381E+18,1140000,0.85,ad_video_popup_bonus,标记海星,2,0.85,绿币
1.16397E+18,540000,1.87,ad_video_starfish,,2,1.49,绿币
1.16381E+18,1140000,0.52,ad_video_cashgame_num,,2,1.9,绿币
1.1639E+18,500000,1.59,ad_video_wild,,2,1.39,绿币
1.1639E+18,540000,1.19,ad_video_wild,,2,0.99,绿币
1.16392E+18,540000,1.62,ad_video_wild,,2,1.12,绿币
1.16397E+18,540000,0.53,ad_video_popup_bonus,标记海星,2,0.33,绿币
1.16395E+18,740000,0.31,ad_video_popup_bonus,标记海星,2,0.31,绿币
1.16402E+18,580000,5.6,ad_video_starfish,,4,2.6,绿币
1.1639E+18,680000,1.72,ad_video_wild,,2,1.72,绿币
1.16399E+18,540000,0.59,ad_video_wild,,4,1.84,绿币
1.164E+18,1143000,2.5,ad_video_gift_ad,,2,0.75,绿币
1.16403E+18,540000,1.73,ad_video_popup_bonus,标记海星,1,1.63,绿币
1.16385E+18,540000,1.65,ad_video_popup_bonus,标记海星,2,1.45,绿币
1.16387E+18,540000,0.83,ad_video_cashgame_num,,1,0.73,绿币
1.16387E+18,540000,1.41,ad_video_popup_bonus,标记海星,2,1.31,绿币
1.16406E+18,540000,1.31,ad_video_popup_bonus,标记海星,2,1.21,绿币
1.16406E+18,540000,2.4,ad_video_details_powerup,,1,2.2,绿币
1.16406E+18,1040000,2.2,ad_video_popup_bonus,标记海星,2,2.2,绿币
1.16403E+18,640000,2.85,ad_video_starfish,,2,0.85,绿币
1.16405E+18,1040000,1.13,ad_video_popup_bonus,标记海星,2,1.13,绿币
1.16388E+18,1700000,0,ad_video_details_powerup,,4,-240000,金币
1.16398E+18,540000,1.66,ad_video_starfish,,2,1.34,绿币
1.16325E+18,1043000,4.08,ad_video_details_powerup,,2,2.55,绿币
1.16397E+18,280000,0,ad_video_wild,,1,-240000,金币
1.16399E+18,180000,0.5,ad_video_wild,,2,20000,金币
1.16377E+18,540000,2.26,ad_video_popup_bonus,标记海星,2,0.26,绿币
1.16375E+18,540000,1.86,ad_video_starfish,,2,1.36,绿币
1.16384E+18,640000,1.26,ad_video_starfish,,2,0.95,绿币
1.16386E+18,500000,1.37,ad_video_wild,,2,1.17,绿币
1.16386E+18,1040000,0.8,ad_video_popup_bonus,任务奖励,1,0.8,绿币
1.16369E+18,940000,2,ad_video_starfish,,2,1.57,绿币
1.16386E+18,280000,2.8,ad_video_starfish,,2,20000,金币
1.16398E+18,740000,2.96,ad_video_starfish,,2,1.96,绿币
1.16392E+18,1036000,1.07,ad_video_popup_bonus,任务奖励,33,0.97,绿币
1.16402E+18,740000,0.78,ad_video_popup_bonus,礼物-在线奖励,1,0.78,绿币
1.16322E+18,540000,1.2,ad_video_popup_bonus,标记海星,2,1.1,绿币
1.16393E+18,640000,0,ad_video_wild,,1,20000,金币
1.16379E+18,540000,2.58,ad_video_popup_bonus,任务奖励,1,0.58,绿币
1.16386E+18,600000,0.62,ad_video_wild,,2,0.62,绿币
1.16366E+18,540000,1.67,ad_video_popup_bonus,任务奖励,1,1.47,绿币
1.16252E+18,20000,1.43,ad_video_details_bingo,,0,1.13,绿币
1.16364E+18,1140000,1.41,ad_video_popup_bonus,标记海星,2,1.41,绿币
1.16369E+18,540000,1.5,ad_video_popup_bonus,标记海星,2,1.4,绿币
1.16323E+18,640000,1.3,ad_video_popup_bonus,标记海星,2,1.3,绿币
