$part_date,#user_id,金币余额,绿币余额,广告场景,ad_name,翻倍奖励原因,累计游戏次数,奖励金额,资源类型
2023/10/15,1.16312E+18,540000,1.26,bingo额外wild技能广告,ad_video_wild,,2,1.06,绿币
2023/10/14,1.16307E+18,280000,1.3,bingo额外wild技能广告,ad_video_wild,,3,1.1,绿币
2023/10/15,1.15933E+18,1040000,1.19,cash game获得幸运数字,ad_video_cashgame_num,,1,1.19,绿币
2023/10/15,1.16329E+18,540000,1.71,通用翻倍奖励,ad_video_popup_bonus,任务奖励,1,1.21,绿币
2023/10/14,1.16301E+18,1440000,2.04,通用翻倍奖励,ad_video_popup_bonus,,1,2.04,绿币
2023/10/15,1.16323E+18,453000,2.03,cash game获得幸运数字,ad_video_cashgame_num,,4,1.83,绿币
2023/10/13,1.15361E+18,11868466,12.81,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,0,0.1,绿币
2023/10/15,1.16332E+18,540000,1.1,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1,绿币
2023/10/15,1.16047E+18,585000,0.92,bingo额外wild技能广告,ad_video_wild,,1,400000,金币
2023/10/14,1.16287E+18,640000,2.13,bingo场次详情弹窗中获取10个道具,ad_video_details_powerup,,1,2.13,绿币
2023/10/14,1.16292E+18,20000,0.97,bingo额外wild技能广告,ad_video_wild,,3,0.87,绿币
2023/10/13,1.16268E+18,1040000,1.09,看广告开启活动场次-海星之旅,ad_video_starfish,,2,0.82,绿币
2023/10/13,1.16131E+18,4422037,32.17,通用翻倍奖励,ad_video_popup_bonus,任务奖励,0,5.99,绿币
2023/10/15,1.16333E+18,1540000,0.51,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,0.51,绿币
2023/10/15,1.14798E+18,27426892,8.49,登录奖励恢复连续登录,ad_video_login_recovery,,0,0.69,绿币
2023/10/15,1.16314E+18,640000,1.14,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.14,绿币
2023/10/15,1.1631E+18,640000,0.8,bingo额外wild技能广告,ad_video_wild,,2,0.8,绿币
2023/10/15,1.16326E+18,1040000,1.54,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.54,绿币
2023/10/14,1.16283E+18,180000,0.66,bingo额外wild技能广告,ad_video_wild,,2,0.56,绿币
2023/10/15,1.16319E+18,540000,0.52,bingo额外wild技能广告,ad_video_wild,,2,0.42,绿币
2023/10/13,1.1555E+18,3268000,17.53,登录奖励恢复连续登录,ad_video_login_recovery,,0,0.76,绿币
2023/10/13,1.15355E+18,5399527,0.58,登录奖励恢复连续登录,ad_video_login_recovery,,0,1203218,金币
2023/10/15,1.16327E+18,540000,0.98,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,0.88,绿币
2023/10/14,1.16293E+18,540000,0.85,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,0.75,绿币
2023/10/19,1.16462E+18,1040000,2.44,bingo额外wild技能广告,ad_video_wild,,3,0.22,绿币
2023/10/19,1.16466E+18,540000,2.04,bingo场次详情弹窗中获取10个道具,ad_video_details_powerup,,1,1.94,绿币
2023/10/19,1.16466E+18,640000,1.16,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.16,绿币
2023/10/19,1.16463E+18,640000,3,cash game获得幸运数字,ad_video_cashgame_num,,1,2,绿币
2023/10/19,1.16463E+18,540000,2.66,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,2.56,绿币
2023/10/19,1.1647E+18,640000,4.56,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,1,4.56,绿币
2023/10/18,1.1569E+18,140000,2.67,看广告开启活动场次-海星之旅,ad_video_starfish,,13,2.57,绿币
2023/10/19,1.16469E+18,640000,1.47,通用翻倍奖励,ad_video_popup_bonus,任务奖励,1,1.47,绿币
2023/10/19,1.1647E+18,680000,1.92,bingo额外wild技能广告,ad_video_wild,,2,1.92,绿币
2023/10/18,1.16425E+18,540000,2.91,bingo额外wild技能广告,ad_video_wild,,2,2.71,绿币
2023/10/18,1.16451E+18,740000,2.05,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,2.05,绿币
2023/10/19,1.16471E+18,640000,1.06,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.06,绿币
2023/10/19,1.16472E+18,712402,3.84,bingo场次详情弹窗中获取10个道具,ad_video_details_powerup,,0,2.94,绿币
2023/10/18,1.16421E+18,14000,4.51,看广告开启活动场次-海星之旅,ad_video_starfish,,0,2.01,绿币
2023/10/18,1.1645E+18,740000,1.56,bingo场次详情弹窗中获取10个道具,ad_video_details_powerup,,1,1.56,绿币
2023/10/19,1.1647E+18,740000,2.39,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,2.39,绿币
2023/10/19,1.16472E+18,640000,2.25,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,2.25,绿币
2023/10/13,1.16009E+18,7489259,11.32,bingo场次详情弹窗中获取10个道具,ad_video_details_powerup,,1,0.58,绿币
2023/10/19,1.16474E+18,740000,2.03,cash game获得幸运数字,ad_video_cashgame_num,,1,2.03,绿币
2023/10/18,1.16434E+18,2643000,5.28,看广告开启活动场次-海星之旅,ad_video_starfish,,2,4.16,绿币
